VARIABLES = "X"
 "Y"
 "Z"
 "Density"
 "Shear Strain Rate"
 "Mach Number"
 "Pressure"
 "Total Pressure"
 "Temperature"
 "Total Temperature"
 "Bulk Energy Flow Rate"
 "X Bulk Momentum Flow Rate"
 "Y Bulk Momentum Flow Rate"
 "Z Bulk Momentum Flow Rate"
 "X Wall Shear"
 "Y Wall Shear"
 "Z Wall Shear"
 "Turbulence Eddy Dissipation"
 "U"
 "V"
 "W"
 "Dynamic Viscosity"
 "Eddy Viscosity"
 "X Vorticity"
 "Y Vorticity"
 "Z Vorticity"
 "Y Plus"
 "Solver Y Plus"
 "Node UserID"
 "Element UserID"
 "Material ID"
 "Part ID"
 "Property ID"
ZONE
DT=(DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE,DOUBLE)
                  0.095                 -0.0005                       0        1.14544222562813        2964.69879141577       0.231540148953783       -3714.66757409912       -1.49921873575076        296.815460420766        300.000045776368                       0                       0                       0                       0                       0                       0                       0        502.159224322831        79.9817836301288                       0                       0   1.83100000867853E-005    0.000168320446858127                       0                       0                       0                       0                       0         22442.000010212        534.500200629246                       1                       1                       1 
                  0.095                 -0.0005    0.000105527638190955        1.14544235290307        2966.62883368929       0.231538623905509       -3714.64116608114       -1.52250393002827        296.815507956922        300.000049728714                       0                       0                       0                       0                       0                       0                       0        502.913437712379        79.9807096941822                       0      -0.151295438493333   1.83100000867853E-005    0.000168394277271452                       0      -0.041405552514262                       0                       0                       0        19468.5691337905        534.857641094351                       1                       1                       1 
                  0.095                 -0.0005     0.00021105527638191        1.14544244164627        2968.53182813664       0.231537109631788       -3714.61795146435       -1.54784243319341        296.815554946218        300.000053696438                       0                       0                       0                       0                       0                       0                       0        503.672272799266        79.9796369155873                       0      -0.303433260610087   1.83100000867853E-005    0.000168468305905089                       0      -0.111642185561523                       0                       0                       0        16483.5682244891        535.208662111869                       1                       1                       1 
                  0.095                 -0.0005    0.000316582914572864        1.14544253038948        2970.43482258489       0.231535595358082       -3714.59473684756       -1.57318093543087        296.815601935515        300.000057664163                       0                       0                       0                       0                       0                       0                       0        504.431107886181        79.9785641369974                       0      -0.455571082725788   1.83100000867853E-005    0.000168542334538734                       0      -0.181878815513724                       0                       0                       0         13498.567325851        535.559683129388                       1                       1                       1 
                  0.095                 -0.0005    0.000422110552763819        1.14544277874453        2972.13598882049       0.231533917254068       -3714.55727869715       -1.58999944927776        296.815651945571        300.000060169377                       0                       0                       0                       0                       0                       0                       0        505.099492095958        79.9772727957614                       0      -0.606897656251283   1.83100000867853E-005    0.000168609680865842                       0      -0.185206012463233                       0                       0                       0        10962.4999995488        535.937791831767                       1                       1                       1 
                  0.095                 -0.0005    0.000527638190954774        1.14544365707535        2972.45697524401       0.231531419957108         -3714.462246626       -1.57204215925578        296.815713077942        300.000053656357                       0                       0                       0                       0                       0                       0                       0        505.274532066549        79.9747313838888                       0      -0.760010184365041   1.83100000867853E-005     0.00016863956579683                       0    0.000215198424025481                       0                       0                       0        10962.4999995488        536.424492945793                       1                       1                       1 
                  0.095                 -0.0005    0.000633165829145729        1.14544449367834        2972.77301191801       0.231529058847215        -3714.3720018106        -1.5536752135602        296.815768378227        300.000045752872                       0                       0                       0                       0                       0                       0                       0        505.451268330229        79.9722313952108                       0      -0.913846786297549   1.83100000867853E-005    0.000168669675677624                       0       0.210910824210873                       0                       0                       0        10962.4999899068        536.905982377527                       1                       1                       1 
                  0.095                 -0.0005    0.000738693467336683        1.14544534085633         2973.0903029979       0.231526663223676       -3714.28054376953       -1.53541208644556        296.815825156527         300.00003820177                       0                       0                       0                       0                       0                       0                       0        505.627574705392        79.9697209087266                       0       -1.06749988749775   1.83100000867853E-005    0.000168699728549791                       0       0.415201197424781                       0                       0                       0        10962.4999899068        537.388792596573                       1                       1                       1 
                  0.095                 -0.0005    0.000844221105527638        1.14544632162566        2973.28153129791       0.231523437827684       -3714.16887695691       -1.52470989601547         296.81590912297        300.000034069436                       0                       0                       0                       0                       0                       0                       0        505.679894168715        79.9666142744082                       0       -1.21981945011153   1.83100000867853E-005    0.000168716314048946                       0       0.497717313926836                       0                       0                       0        10962.4999899068          537.8779234489                       1                       1                       1 
                  0.095                 -0.0005    0.000949748743718593        1.14544747826645        2973.16234533063       0.231518694358818       -3714.02551848942       -1.53178103451377        296.816039621354         300.00003413242                       0                       0                       0                       0                       0                       0                       0        505.435662892653        79.9622081678828                       0       -1.37144512887984   1.83100000867853E-005     0.00016870090147845                       0       0.359028203304237                       0                       0                       0        10962.4999899068         538.36410070795                       1                       1                       1 
